run_id,harness,architecture_family,provider,model,temperature,prompt_version,schema_version,mapping_version,dataset_n,llm_calls_per_row,mean_input_tokens,mean_output_tokens,mean_total_tokens,latency_ms,estimated_cost_usd,modules_invoked,intermediate_artifacts,external_tools
matrix_claude-3-haiku-20240307_single_prompt_anchor,single_prompt_anchor,direct_llm,replay,claude-3-haiku-20240307,0.0,anchor_single_prompt_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
matrix_gpt-4o-2024-11-20_single_prompt_anchor,single_prompt_anchor,direct_llm,replay,gpt-4o-2024-11-20,0.0,anchor_single_prompt_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
matrix_gpt-4o-mini-2024-07-18_single_prompt_anchor,single_prompt_anchor,direct_llm,replay,gpt-4o-mini-2024-07-18,0.0,anchor_single_prompt_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
matrix_meta-llama_Llama-3_1-70B-Instruct_single_prompt_anchor,single_prompt_anchor,direct_llm,replay,meta-llama/Llama-3.1-70B-Instruct,0.0,anchor_single_prompt_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
matrix_meta-llama_Llama-3_1-8B-Instruct_single_prompt_anchor,single_prompt_anchor,direct_llm,replay,meta-llama/Llama-3.1-8B-Instruct,0.0,anchor_single_prompt_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
matrix_claude-3-5-haiku-20241022_single_prompt_full_contract,direct_full_contract,direct_llm,replay,claude-3-5-haiku-20241022,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_claude-3-5-sonnet-20241022_single_prompt_full_contract,direct_full_contract,direct_llm,replay,claude-3-5-sonnet-20241022,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_claude-3-haiku-20240307_single_prompt_full_contract,direct_full_contract,direct_llm,replay,claude-3-haiku-20240307,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_gpt-4o-2024-11-20_single_prompt_full_contract,direct_full_contract,direct_llm,replay,gpt-4o-2024-11-20,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_gpt-4o-mini-2024-07-18_single_prompt_full_contract,direct_full_contract,direct_llm,replay,gpt-4o-mini-2024-07-18,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_meta-llama_Llama-3_1-70B-Instruct_single_prompt_full_contract,direct_full_contract,direct_llm,replay,meta-llama/Llama-3.1-70B-Instruct,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_meta-llama_Llama-3_1-8B-Instruct_single_prompt_full_contract,direct_full_contract,direct_llm,replay,meta-llama/Llama-3.1-8B-Instruct,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
multi_agent_anchor_n1_gold_seeded_2026_05_03,multi_agent_anchor,clines_inspired_modular,replay,mock-model,0.0,anchor_multi_agent_v1,1.0.0,,1,2,40.0,14.0,54.0,2,0.0,0,2,
multi_agent_anchor_sc3_n1_gold_seeded_2026_05_03,multi_agent_anchor_sc3,costed_reliability_variant,replay,mock-model,0.0,anchor_single_prompt_v1,1.0.0,,1,3,60.0,18.0,78.0,3,0.0,0,2,
multi_agent_anchor_sc5_n1_gold_seeded_2026_05_03,multi_agent_anchor_sc5,costed_reliability_variant,replay,mock-model,0.0,anchor_single_prompt_v1,1.0.0,,1,5,100.0,30.0,130.0,5,0.0,0,2,
retrieval_anchor_n1_gold_seeded_2026_05_03,retrieval_anchor,retrieval_field_pipeline,replay,mock-model,0.0,anchor_retrieval_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
retrieval_field_extractors_n25_gold_seeded_2026_05_03,retrieval_field_extractors,retrieval_field_pipeline,replay,mock-model,0.0,retrieval_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,3,
single_prompt_anchor_n1_gold_seeded_2026_05_03,single_prompt_anchor,direct_llm,replay,mock-model,0.0,anchor_single_prompt_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
